| FUTSTK     | HCLTECH    |     -1 | 1148740200 | 48080 |   600 | XX         | HCLTECH    |
| FUTSTK     | HDFC       |     -1 | 1148740200 | 48083 |   400 | XX         | HDFC       |
| FUTSTK     | HDFCBANK   |     -1 | 1148740200 | 48098 |   500 | XX         | HDFCBANK   |
| FUTSTK     | HDIL       |     -1 | 1148740200 | 48116 |  6000 | XX         | HDIL       |
| FUTSTK     | HEROMOTOCO |     -1 | 1148740200 | 48120 |   200 | XX         | HEROMOTOCO |
| FUTSTK     | HEXAWARE   |     -1 | 1148740200 | 48129 |  2000 | XX         | HEXAWARE   |
| FUTSTK     | HINDALCO   |     -1 | 1148740200 | 48132 |  5000 | XX         | HINDALCO   |
| FUTSTK     | HINDPETRO  |     -1 | 1148740200 | 48133 |   600 | XX         | HINDPETRO  |
| FUTSTK     | HINDUNILVR |     -1 | 1148740200 | 48134 |   600 | XX         | HINDUNILVR |
| FUTSTK     | HINDZINC   |     -1 | 1148740200 | 48135 |  3200 | XX         | HINDZINC   |
| FUTSTK     | IBREALEST  |     -1 | 1148740200 | 48136 |  9000 | XX         | IBREALEST  |
| FUTSTK     | IBULHSGFIN |     -1 | 1148740200 | 48137 |   800 | XX         | IBULHSGFIN |
| FUTSTK     | ICICIBANK  |     -1 | 1148740200 | 48138 |  1700 | XX         | ICICIBANK  |
| FUTSTK     | ICIL       |     -1 | 1148740200 | 48166 |   500 | XX         | ICIL       |
| FUTSTK     | IDBI       |     -1 | 1148740200 | 48167 |  8000 | XX         | IDBI       |
| FUTSTK     | IDEA       |     -1 | 1148740200 | 48168 |  3000 | XX         | IDEA       |
| FUTSTK     | IDFC       |     -1 | 1148740200 | 48171 |  3300 | XX         | IDFC       |
| FUTSTK     | IFCI       |     -1 | 1148740200 | 48172 | 20000 | XX         | IFCI       |
| FUTSTK     | IGL        |     -1 | 1148740200 | 48173 |  1100 | XX         | IGL        |
| FUTSTK     | INDIACEM   |     -1 | 1148740200 | 48180 |  6000 | XX         | INDIACEM   |
| FUTSTK     | INDUSINDBK |     -1 | 1148740200 | 48181 |   600 | XX         | INDUSINDBK |
| FUTSTK     | INFRATEL   |     -1 | 1148740200 | 48182 |  1300 | XX         | INFRATEL   |
| FUTSTK     | INFY       |     -1 | 1148740200 | 48184 |   500 | XX         | INFY       |
| FUTSTK     | IOB        |     -1 | 1148740200 | 48185 | 14000 | XX         | IOB        |
| FUTSTK     | IOC        |     -1 | 1148740200 | 48186 |  1200 | XX         | IOC        |
| FUTSTK     | IRB        |     -1 | 1148740200 | 48187 |  2100 | XX         | IRB        |
| FUTSTK     | ITC        |     -1 | 1148740200 | 48188 |  1600 | XX         | ITC        |
| FUTSTK     | JETAIRWAYS |     -1 | 1148740200 | 48189 |   900 | XX         | JETAIRWAYS |
| FUTSTK     | JINDALSTEL |     -1 | 1148740200 | 48191 |  7000 | XX         | JINDALSTEL |
| FUTSTK     | JISLJALEQS |     -1 | 1148740200 | 48192 |  8000 | XX         | JISLJALEQS |
| FUTSTK     | JPASSOCIAT |     -1 | 1148740200 | 48193 | 48000 | XX         | JPASSOCIAT |
| FUTSTK     | JSWENERGY  |     -1 | 1148740200 | 48194 |  6000 | XX         | JSWENERGY  |
| FUTSTK     | JSWSTEEL   |     -1 | 1148740200 | 48195 |   600 | XX         | JSWSTEEL   |
| FUTSTK     | JUBLFOOD   |     -1 | 1148740200 | 48196 |   300 | XX         | JUBLFOOD   |
| FUTSTK     | JUSTDIAL   |     -1 | 1148740200 | 48197 |   500 | XX         | JUSTDIAL   |
| FUTSTK     | KOTAKBANK  |     -1 | 1148740200 | 48204 |   700 | XX         | KOTAKBANK  |
| FUTSTK     | KPIT       |     -1 | 1148740200 | 48210 |  4000 | XX         | KPIT       |
| FUTSTK     | KSCL       |     -1 | 1148740200 | 48212 |   750 | XX         | KSCL       |
| FUTSTK     | KTKBANK    |     -1 | 1148740200 | 48213 |  4000 | XX         | KTKBANK    |
| FUTSTK     | L&TFH      |     -1 | 1148740200 | 48214 |  8000 | XX         | L&TFH      |
| FUTSTK     | LICHSGFIN  |     -1 | 1148740200 | 48215 |  1100 | XX         | LICHSGFIN  |
| FUTSTK     | LT         |     -1 | 1148740200 | 48220 |   300 | XX         | LT         |
| FUTSTK     | LUPIN      |     -1 | 1148740200 | 48224 |   300 | XX         | LUPIN      |
| FUTSTK     | M&M        |     -1 | 1148740200 | 48225 |   400 | XX         | M&M        |
| FUTSTK     | M&MFIN     |     -1 | 1148740200 | 48226 |  2000 | XX         | M&MFIN     |
| FUTSTK     | MARICO     |     -1 | 1148740200 | 48228 |  2600 | XX         | MARICO     |
